,CH3Cl,CH4,CO,CO2,ClO,H2CO,H2O,HBr,HCN,HCl,HF,HI,HNO3,HOCl,N2,N2O,NH3,NO,NO2,O2,O3,OH,SO2,p,t,z
26,1.911711e-08,7.96611e-05,1.522648e-06,0.035519829999999995,3.9733609999999995e-09,5.824321e-09,0.0005003538999999999,0.0,1.13074e-08,6.514554e-08,1.821231e-08,3.002641e-10,5.613632e-07,1.310666e-08,78.16172,9.576653e-06,1.230915e-12,6.854500000000001e-08,3.743283e-07,20.91379,0.0004703663,2.181859e-10,1.7514330000000001e-09,2256.0,211.2,25000.0
27,1.1007269999999999e-08,7.453831e-05,1.723309e-06,0.035534340000000005,8.486918999999999e-09,7.216025999999999e-09,0.0005003657,0.0,1.050826e-08,7.516206e-08,2.302033e-08,3.0018039999999996e-10,4.824328e-07,1.841431e-08,78.16386,8.603873e-06,9.377714e-13,1.2810300000000002e-07,4.812633e-07,20.91517,0.0004904246,5.003657e-10,1.5410559999999998e-09,1513.0,213.6,27500.0
28,4.724918e-09,6.947033000000001e-05,2.03879e-06,0.035524599999999996,1.8516649999999997e-08,8.736420000000001e-09,0.0005002682000000001,0.0,9.739295e-09,9.888411e-08,2.832319e-08,3.002779e-10,3.742509e-07,2.4519280000000003e-08,78.15412,7.321284e-06,6.356417999999999e-13,2.451928e-07,6.166369e-07,20.91712,0.0005403248,1.170996e-09,1.3411629999999999e-09,1020.0,216.0,30000.0
29,1.7913239999999998e-09,6.439686999999999e-05,2.487684e-06,0.03552524,3.572171e-08,1.010703e-08,0.0005003309,0.0,9.046123e-09,1.280952e-07,3.2019429999999995e-08,3.001985e-10,2.591592e-07,2.961819e-08,78.14942,5.714949e-06,3.682628e-13,4.531793e-07,7.216815e-07,20.91261,0.0005902682,3.4023380000000003e-09,1.210661e-09,691.0,218.5,32500.0
30,7.358215e-10,5.88853e-05,3.1711490000000003e-06,0.03553097,5.084807e-08,1.111241e-08,0.00050045,0.0,8.468149000000001e-09,1.571537e-07,3.483236e-08,3.0027e-10,1.641398e-07,3.212935e-08,78.15247,4.6741310000000005e-06,1.821599e-13,7.149286e-07,7.286395e-07,20.91901,0.0006205841,8.357156e-09,1.160861e-09,470.1,222.3,35000.0
31,3.033783e-10,5.244166e-05,4.434441e-06,0.035543899999999996,6.077333e-08,1.1310750000000001e-08,0.0005005839,0.0,8.028877e-09,1.691729e-07,3.724344e-08,3.003503e-10,9.691304e-08,3.0435499999999995e-08,78.18876,3.44304e-06,9.270325e-14,9.351395999999999e-07,6.266822e-07,20.92197,0.0006257055,1.7024740000000002e-08,1.211169e-09,323.0,228.5,37500.0
32,1.3210499999999998e-10,4.508965e-05,6.476672e-06,0.03552562,5.955128e-08,1.0308060000000001e-08,0.0005003059,0.0,7.635336e-09,1.740885e-07,3.952749e-08,3.002124e-10,5.3339e-08,2.4820259999999997e-08,78.15925,2.473358e-06,2.942891e-14,1.120812e-06,4.0336530000000004e-07,20.91952,0.0005904562999999999,2.8518740000000002e-08,1.361069e-09,224.3,234.7,40000.0
33,8.697228e-11,3.71014e-05,1.041889e-05,0.035534329999999996,4.332732e-08,7.956046999999999e-09,0.0005004030000000001,0.0,7.305926000000001e-09,1.761469e-07,4.104024e-08,3.002841e-10,2.522133e-08,1.641398e-08,78.16282,1.632292e-06,8.726875e-15,1.190972e-06,2.172719e-07,20.91612,0.000510356,4.063789e-08,1.651351e-09,157.0,240.8,42500.0
34,6.685838e-11,3.0061759999999998e-05,1.508144e-05,0.03551277,2.511939e-08,4.8228730000000005e-09,0.0005003654,0.0,7.004502999999999e-09,1.791265e-07,4.21312e-08,3.002193e-10,1.210927e-08,9.746861e-09,78.16486,1.0669149999999999e-06,2.982276e-15,1.170788e-06,1.1508710000000001e-07,20.91546,0.00041028129999999996,5.113961e-08,2.101657e-09,111.3,247.0,45000.0
35,5.602342e-11,2.454233e-05,2.16438e-05,0.03552133,1.560779e-08,1.6306980000000002e-09,0.0005004936000000001,0.0,6.704225000000001e-09,1.801069e-07,4.242469e-08,3.0016339999999997e-10,7.704327e-09,4.920857e-09,78.14958,7.067094e-07,1.300575e-15,1.100555e-06,6.664397999999999e-08,20.90922,0.00030016339999999997,5.792627e-08,2.7715219999999998e-09,79.0,253.2,47500.0
